asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0C6NGFYV6,NEO CHAIR Office Desk Gaming Computer Home Chair Ergonomic Executive High Back Support Flip-up Arms Adjustable Height Swivel Rolling Wheels Comfy PU Leather (White),,office chair,9580.78,USD,,0,4.2,,200000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71ZjyPFK-sL._AC_UL320_.jpg,00:35.8
B08912ZC33,BestOffice | Ergonomic Office Chair | Mid-Back Swivel Desk Chair | Breathable Backrest & Lumbar Support | Adjustable Height | Sponge Seat | Rolling Wheels | Orange | for Adults & Women,,office chair,4311.26,USD,,0,4.3,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71T4TTNYJTL._AC_UL320_.jpg,00:37.0
B0FWZSVVK4,"Ergonomic Office Chair with Lumbar Support, High Back Mesh Desk Chair with Flip-Up Arms, Adjustable Computer Task Chair, Khaki",,office chair,11981.25,USD,,0,4.3,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71ESB+uza5L._AC_UL320_.jpg,00:37.2
B008OTQ864,"Flash Furniture Nicholas Mid-Back Swivel Desk Chair with Wheels, Mesh Back, Padded Seat, and Armrests, Adjustable Height Mesh Ergonomic Office Chair, Black",,office chair,14436.34,USD,,0,4.2,,50000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/710buLNgfLL._AC_UL320_.jpg,00:38.3
B0CZBG2X2N,"HON Convergence Ergonomic Office Chair with Mesh Back, Adjustable Arms, Lumbar Support, Synchro‑Tilt Desk Chair with Wheels for Home Office or Computer Use, Black Frame, Black",,office chair,33921.8,USD,,0,4.3,2000000,50000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71ezV9cqQVL._AC_UL320_.jpg,00:38.8
B075B384GK,"Serta Garret Executive Office Chair, Ergonomic Mid-Back with Lumbar Support, Semi-Plush Cushion and Body Pillows, Padded Armrests, Swivel Base, Bonded Leather, Ivory White",,office chair,19164.44,USD,,0,4,,50000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71lZ9jQw2JL._AC_UL320_.jpg,00:39.8
B00KUPS3JU,"Flash Furniture Kelista Mid-Back Swivel Office Chair with Adjustable Seat Height, Ergonomic Mesh Desk Chair with Flip-Up Armrests, Black",,office chair,12930.9,USD,14661.53,11.8,4.2,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71p1a8xA3+L._AC_UL320_.jpg,00:40.8
B081H44MHD,"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Chair with Armrest, Height Adjustable, Easy to Assemble, 26""D x 23.75""W x 42""H, Cream",,office chair,10332.07,USD,,0,4.2,,400000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61f+0P5yATL._AC_UL320_.jpg,00:41.7
B08G2MQS4V,"Amazon Basics Modern Home Office Desk Chair with Adjustable Height, 360 Degree Swivel, Smooth-Rolling Wheels, High-Density Foam Cushioning, Light Gray",,office chair,14428.67,USD,,0,4.4,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/91Puxxl0ouL._AC_UL320_.jpg,00:42.8
B0F7PZNZQD,"Samsung Galaxy Watch 8 (2025) 44mm Bluetooth Smartwatch, Cushion Design, Fitness Tracker, Sleep Coaching, Running Coach, Energy Score, Heart Rate Tracking, Graphite [US Version, 2 Yr Warranty]",,smart watch,30663.68,USD,36413.3,15.79,4.6,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/616KEp7qQvL._AC_UY218_.jpg,00:52.6
B0F7PZNZQD,"Samsung Galaxy Watch 8 (2025) 44mm Bluetooth Smartwatch, Cushion Design, Fitness Tracker, Sleep Coaching, Running Coach, Energy Score, Heart Rate Tracking, Graphite [US Version, 2 Yr Warranty]",,smart watch,30663.68,USD,36413.3,15.79,4.6,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/616KEp7qQvL._AC_UY218_.jpg,00:55.5
B0DSG9VCRH,"Garmin Instinct® 3 45mm, Solar Charged Display, Rugged Outdoor GPS Smartwatch, Metal-Reinforced Bezel, Built-in Flashlight, Black",,smart watch,28747.14,USD,38329.84,25,4.6,,1000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61YWK9flgBL._AC_UY218_.jpg,00:55.9
B0D1YNVD88,"Samsung Galaxy Watch 7 40mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Cream [US Version, 1Yr Manufacturer Warranty]",,smart watch,17742.37,USD,23955.79,25.94,4.6,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71SZNup1qrL._AC_UY218_.jpg,00:56.1
B0DSC72873,"Garmin Instinct® E 45mm, Rugged Outdoor GPS Smartwatch, 24/7 Health Monitoring, Wrist-Based Heart Rate, Up to 16 Days of Battery Life, Charcoal",,smart watch,19164.44,USD,28747.14,33.33,4.5,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61r6NWBWKXL._AC_UY218_.jpg,00:56.4
B0G4F6ZCSV,"Amazfit Active Max Smart Watch 1.5"" AMOLED Display, 25-Day Battery, Offline Maps, GPS, 4GB Storage, 170+ Sport Modes, 5 ATM Water Resistant, Heart Rate & Sleep Fitness Tracker for Android & iPhone",,smart watch,16289.63,USD,,0,4.7,,1000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61eLhGc40TL._AC_UY218_.jpg,01:09.7
B0BYFCZZ9F,"Garmin epix Pro (Gen 2) Sapphire Edition, 51mm, High Performance Smartwatch, Advanced Training Technology, Built-in Flashlight, Black",,smart watch,52703.89,USD,105408.74,50,4.7,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71RRI0WgfKL._AC_UY218_.jpg,01:13.0
B0G27BWHRD,"iLive Electronics Wireless Tailgate Party Speaker, ISB352B",,bluetooth speaker,5259.94,USD,,0,3.8,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71BCAqjfcvL._AC_UY218_.jpg,01:45.3
B0D7BWV74T,"Bluetooth Speaker Wireless,IP67 Waterproof & Dustproof Portable Speaker with Lights,15W Loud Stereo Sound, 2500mAh Battery All Day Playtime, TWS Pairing, BT5.3, Home/Party/Outdoor/Beach (Black)",,bluetooth speaker,1915.58,USD,2393.76,19.98,4.6,,4000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81kWrb3DioL._AC_UY218_.jpg,01:47.0
B0BC27MM5Z,Marshall Acton III Bluetooth Home Speaker - Loud Stereo Sound with Bass and Treble Controls | Plug-in Powered | 3.5mm Aux Input - Black,,bluetooth speaker,19164.44,USD,28747.14,33.33,4.8,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/815nga8GBqL._AC_UY218_.jpg,01:47.9
B09XXW54QG,"Marshall Emberton II Portable Bluetooth Speaker, Black & Brass",,bluetooth speaker,8816.08,USD,11497.32,23.32,4.7,,200000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81fkcBjZndL._AC_UY218_.jpg,01:48.5
B09GJVTRNZ,"JBL Flip 6 - Portable Bluetooth Speaker, powerful sound and deep bass, IPX7 waterproof, 12 hours of playtime, JBL PartyBoost for multiple speaker pairing for home, outdoor and travel (Black)",,bluetooth speaker,12452.72,USD,,0,4.7,,2000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61Eaj593GtL._AC_UY218_.jpg,01:48.7
B01MTB55WH,"Anker Soundcore 2 Portable Bluetooth Speaker with Stereo Sound, Bluetooth 5, Bassup, IPX7 Waterproof, 24-Hour Playtime, Wireless, Speaker for Home, Outdoors, Travel",,bluetooth speaker,4199.14,USD,,0,4.5,,10000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71jjggEx2XL._AC_UY218_.jpg,01:49.1
