asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0FFDDFW47,"ASUS TUF Gaming F16 (2025) Gaming Laptop, 16” FHD+ 165Hz 16:10 Display, Intel® Core™ i5 Processor 13450HX, NVIDIA® GeForce RTX™ 5050, 16GB DDR5, 512GB PCIe Gen4 SSD, Wi-Fi 6E, Win 11 Home",,laptop,98700.85,USD,124574.14,20.77,4.5,,300000000,In Stock,False,,,https://m.media-amazon.com/images/I/71cjDQIKaPL._AC_UY218_.jpg,2026-06-12T09:58:55.591974
B0G51YFVN3,"NIMO 15.6"" Light-Gaming-Laptop, 8 Cores AMD Ryzen 7 Pro 6850U 32GB RAM 1TB SSD (Beat i7-1360P Up to 4.7GHz) Radeon 680M 100W Fast PD FHD Backlit Keyboard for Content Creators & Student 2-Yr Warranty",,laptop,,USD,,0.0,4.5,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/71U6gwVtvZL._AC_UY218_.jpg,2026-06-12T09:58:55.745698
B0F5KTGDS9,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",,laptop,76660.64,USD,,0.0,4.5,,1000,In Stock,False,,,https://m.media-amazon.com/images/I/71gXelI8upL._AC_UY218_.jpg,2026-06-12T09:58:56.098102
B0DTVQN7KM,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 256GB SSD, Windows 11 Home, Fast Charging, Webcam Shield, Military Grade Durability, Black, E1504FA-AB34",,laptop,38226.35,USD,,0.0,4.3,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/71DhTegVuPL._AC_UY218_.jpg,2026-06-12T09:58:56.456527
B0CWJB9ZC6,"ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, Military Grade Durability, Fast Charging, Webcam Shield, E1504FA-AS54",,laptop,40948.79,USD,,0.0,4.2,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/71Os2Kn40pL._AC_UY218_.jpg,2026-06-12T09:58:56.658866
B0GMX3T4ZD,"NIMO 17.3"" FHD IPS Student-Laptop-Computer - 16GB RAM 256GB SSD, Pentium 4 Cores N100(Beat i3-1115G4, Up to 3.4GHz) 65W Type-C 2 Years Warranty Fingerprint Backlit Keyboard Wi-Fi 6 BT5.2",,laptop,,USD,,0.0,5.0,,200000000,In Stock,False,,,https://m.media-amazon.com/images/I/71JfCxJUlaL._AC_UY218_.jpg,2026-06-12T09:58:56.813582
B0H391P1SW,"HP 17 Laptop for Business - 32 GB RAM, 2TB SSD, 17.3"" FHD IPS Display, AMD Ryzen 5 7430U, Wi-Fi 6, Bluetooth 5.4, Windows 11 Pro, Numeric Keypad",,laptop,,USD,,0.0,5.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71h5ugPokYL._AC_UY218_.jpg,2026-06-12T09:58:56.991965
B0GKQTGRYS,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultra 9 185H, 32GB LPDDR5x 7500MHz RAM 2TB SSD, Up to 17 Hour, USB4, Fingerprint, Dual Fan, Copilot, Windows 11 Pro",,laptop,129270.62,USD,162810.07,20.6,4.5,,,In Stock,False,,,https://m.media-amazon.com/images/I/81jyYO0uO9L._AC_UY218_.jpg,2026-06-12T09:58:57.235703
B0GPSN95VK,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Mixed Black",,laptop,33538.49,USD,,0.0,,,,In Stock,False,,,https://m.media-amazon.com/images/I/61qA3mYPhQL._AC_UY218_.jpg,2026-06-12T09:58:57.687756
B0CRDCW3Q3,"ASUS 15.6” Vivobook Go Slim Laptop, Thin & Portable for Student Study, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",,laptop,20697.67,USD,23860.92,13.26,3.8,,,In Stock,False,,,https://m.media-amazon.com/images/I/61KZBt8QeGL._AC_UY218_.jpg,2026-06-12T09:58:57.905975
